generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
92,3753.539383057381,1840.4140675599742,3781.781972807293,52,56.765625,128,0,128,0.0,1.0,2560,1787,773,0.698046875,0.301953125,92.0474221279987,220.19501987623394,980.6075365918597,98.06075365918596,152.00497214336465,0.6,2210.1805713845533
93,3753.539383057381,23.41789313146799,5309.3470847652,52,52.4609375,128,0,128,0.0,1.0,2560,1433,1127,0.559765625,0.440234375,1.1953985628233994,294.63580375133324,1191.9224565427844,119.19224565427844,145.08354824267187,0.6,2210.1805713845533
94,3753.6523757031528,-315.7174039846245,5846.225407582442,48,52.2890625,128,0,128,0.0,1.0,2560,1419,1141,0.554296875,0.445703125,-15.764424886731229,315.71543772227443,673.0149352479357,67.30149352479357,107.65775760077875,0.6,2210.1805713845533
95,3753.6523757031528,537.0060851931642,4789.505970996493,48,51.3203125,128,0,128,0.0,1.0,2560,1492,1068,0.5828125,0.4171875,26.872245665908196,269.35835342262135,1787.813752673395,178.78137526733948,96.77332058636517,0.9,2210.1805713845533
96,3757.264797246733,1341.342503474657,4175.373535159563,50,51.390625,128,0,128,0.0,1.0,2560,1625,935,0.634765625,0.365234375,67.09063298623285,249.08950215542953,977.7258591168589,97.7725859116859,90.69218233561045,0.6,2210.1805713845533
97,3757.264797246733,174.98757398829707,5348.0281793942,50,51.640625,128,0,128,0.0,1.0,2560,1544,1016,0.603125,0.396875,8.770949011914857,299.2594159998714,1124.4135761830257,112.44135761830253,119.86837261535823,0.6,2210.1805713845533
98,3757.264797246733,-233.6553391385354,5948.850258166759,50,52.0625,128,0,128,0.0,1.0,2560,1505,1055,0.587890625,0.412109375,-11.657860706926769,331.1791573181291,1686.635921327663,168.6635921327663,79.32631707625605,0.9,2210.1805713845533
99,3757.264797246733,-441.88586117215675,6354.4556682092925,52,51.59375,128,0,128,0.0,1.0,2560,1476,1084,0.5765625,0.4234375,-22.07008212110785,363.7989457923819,633.1840496419852,63.31840496419852,241.6756093557045,0.6,2210.1805713845533
100,3757.264797246733,-920.5208698393583,6232.587166104773,50,51.140625,128,0,128,0.0,1.0,2560,1320,1240,0.515625,0.484375,-46.002832554467915,346.7425249584121,1088.8987083856837,108.88987083856834,105.22714140777715,0.6,2210.1805713845533
101,3757.264797246733,-887.2307544117839,6212.416428028777,50,50.4609375,128,0,128,0.0,1.0,2560,1274,1286,0.49765625,0.50234375,-44.3397877205892,347.6160138527257,552.9060908759408,55.29060908759408,106.77063192885007,0.3,2210.1805713845533
