generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
44,726.8194343036207,-909.5860466909121,1349.6933418575363,54,54.0546875,128,0,128,0.0,1.0,1920,95,1825,0.049479166666666664,0.9505208333333334,-60.63264530022748,128.91631274517775,47.5055142068842,4.7505514206884145,151.28633098178554,0.2,130.4122068023761
45,726.8194343036207,-1129.339164372566,2395.927117124274,54,52.15625,128,0,128,0.0,1.0,1920,130,1790,0.06770833333333333,0.9322916666666666,-75.2818609581711,198.90438632438634,-622.7172811836948,-62.271728118369495,64.20156191409927,0.0,130.4122068023761
46,726.8194343036207,-876.7858872218926,1814.5068685303218,54,51.96875,128,0,128,0.0,1.0,1920,182,1738,0.09479166666666666,0.9052083333333333,-58.44672841895951,172.2035428794709,138.2759965108529,13.82759965108529,96.2554462638859,0.1,138.2759965108529
47,726.8194343036207,-829.4546508911811,2059.7822718279967,54,53.4140625,128,0,128,0.0,1.0,1920,229,1691,0.11927083333333334,0.8807291666666667,-55.290817871912076,197.33313006337488,-130.2249232819771,-13.02249232819771,112.0597477021742,0.1,138.2759965108529
48,726.8194343036207,-723.4297104754032,1578.2817399608905,63,52.515625,128,0,128,0.0,1.0,1920,234,1686,0.121875,0.878125,-48.222892156693554,153.12439353558625,-395.02131630855985,-39.502131630855985,47.13491002630715,0.0,138.2759965108529
49,726.8194343036207,-1019.1365366149084,2655.025134851801,54,54.1484375,128,0,128,0.0,1.0,1920,254,1666,0.13229166666666667,0.8677083333333333,-67.93682639932722,233.01492111231138,53.27584819079971,5.327584819079971,135.99323049109222,0.3,138.2759965108529
50,726.8194343036207,-710.2084063184985,1842.4005460452418,63,55.8046875,128,0,128,0.0,1.0,1920,262,1658,0.13645833333333332,0.8635416666666667,-47.34075573373323,173.72271492018734,327.7695682654417,32.77695682654417,124.91015012511686,0.3,327.7695682654417
51,845.2545787382638,-841.2094350866807,2380.111937622914,63,56.203125,128,0,128,0.0,1.0,1920,257,1663,0.13385416666666666,0.8661458333333333,-56.074212339112044,222.20746694842782,-60.99678583341421,-6.0996785833414195,125.76266160649813,0.2,327.7695682654417
52,845.2545787382638,-457.99938910085496,1367.7360667440437,63,56.7734375,128,0,128,0.0,1.0,1920,277,1643,0.14427083333333332,0.8557291666666667,-30.528157190056998,145.02122942299414,-670.0639335143867,-67.00639335143867,50.9371395512349,0.0,327.7695682654417
53,845.2545787382638,-707.1732903110587,1731.3644120127803,63,55.484375,128,0,128,0.0,1.0,1920,263,1657,0.13697916666666668,0.8630208333333333,-47.13849799990393,165.48166221612308,-170.30277479066893,-17.030277479066893,116.75109791880472,0.1,327.7695682654417
